,Date,AirportName,PercentOfBaseline,Centroid.Latitute,Centroid.Longitude,City,State,ISO_3166_2,Country
168,2020/6/13,Kingsford Smith,36,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
169,2020/7/19,Kingsford Smith,52,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
170,2020/7/28,Kingsford Smith,22,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
171,2020/7/20,Kingsford Smith,51,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
172,2020/8/23,Kingsford Smith,9,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
173,2020/4/30,Kingsford Smith,65,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
174,2020/7/11,Kingsford Smith,52,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
175,2020/5/25,Kingsford Smith,53,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
176,2020/6/8,Kingsford Smith,25,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
177,2020/3/19,Kingsford Smith,89,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
178,2020/6/2,Kingsford Smith,59,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
179,2020/5/10,Kingsford Smith,40,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
180,2020/6/16,Kingsford Smith,63,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
181,2020/5/23,Kingsford Smith,16,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
182,2020/8/15,Kingsford Smith,16,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
183,2020/7/23,Kingsford Smith,57,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
184,2020/7/8,Kingsford Smith,55,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
185,2020/9/6,Kingsford Smith,9,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
186,2020/3/27,Kingsford Smith,81,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
187,2020/3/30,Kingsford Smith,75,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
188,2020/10/2,Kingsford Smith,16,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
189,2020/6/27,Kingsford Smith,51,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
190,2020/5/6,Kingsford Smith,52,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
191,2020/9/13,Kingsford Smith,10,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
192,2020/7/22,Kingsford Smith,65,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
193,2020/8/13,Kingsford Smith,14,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
194,2020/5/1,Kingsford Smith,61,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
195,2020/9/22,Kingsford Smith,16,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
196,2020/4/28,Kingsford Smith,57,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
197,2020/7/16,Kingsford Smith,56,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
198,2020/9/19,Kingsford Smith,26,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
199,2020/8/2,Kingsford Smith,13,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
200,2020/3/29,Kingsford Smith,66,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
201,2020/10/8,Kingsford Smith,24,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
202,2020/5/19,Kingsford Smith,60,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
203,2020/3/28,Kingsford Smith,62,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
204,2020/4/13,Kingsford Smith,29,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
205,2020/9/1,Kingsford Smith,15,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
206,2020/10/13,Kingsford Smith,21,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
207,2020/4/4,Kingsford Smith,27,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
208,2020/9/28,Kingsford Smith,12,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
209,2020/4/27,Kingsford Smith,53,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
210,2020/7/6,Kingsford Smith,55,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
211,2020/9/2,Kingsford Smith,18,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
212,2020/5/28,Santiago International Airport,22,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
213,2020/7/15,Santiago International Airport,39,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
214,2020/4/22,Santiago International Airport,21,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
215,2020/6/27,Santiago International Airport,19,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
216,2020/5/24,Santiago International Airport,9,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
217,2020/7/2,Santiago International Airport,25,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
218,2020/3/26,Santiago International Airport,24,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
219,2020/5/19,Santiago International Airport,29,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
220,2020/6/4,Santiago International Airport,20,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
221,2020/5/6,Santiago International Airport,22,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
222,2020/4/14,Santiago International Airport,20,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
223,2020/9/25,Santiago International Airport,42,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
224,2020/8/26,Santiago International Airport,36,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
225,2020/7/11,Santiago International Airport,26,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
226,2020/6/20,Santiago International Airport,16,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
227,2020/5/7,Santiago International Airport,28,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
228,2020/4/15,Santiago International Airport,21,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
229,2020/8/18,Santiago International Airport,40,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
230,2020/7/7,Santiago International Airport,30,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
231,2020/7/18,Santiago International Airport,29,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
232,2020/6/16,Santiago International Airport,27,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
233,2020/7/14,Santiago International Airport,36,-70.79424,-33.39073,Santiago,Santiago Province,CL,Chile
